key,english,tamil,translate,note,screen,occurrences,first_seen
laborTrackingView.vendor,Vendor,,YES,,Labor Tracking View; Material Consumption View; Procurement View,11,components/LaborTrackingView.tsx:871
brandLogo.sitetru,Sitetru,,NO,Brand name — never translate or transliterate,Brand Logo; Cost Management; Layout,7,components/BrandLogo.tsx:18
clientPaymentsView.amount,Amount (₹),,YES,,Client Payments View; Cost Management; Procurement View,5,components/ClientPaymentsView.tsx:490
costManagement.labor,Labor,,YES,,Cost Management; Procurement View; WBSView,5,components/CostManagement.tsx:1899
procurementView.notes,Notes,,YES,,Procurement View; Goods Receipt Details; Goods Receipt Form,5,components/ProcurementView.tsx:2516
costManagement.quantity,Quantity,,YES,,Cost Management; Estimate Tracker View; Material Consumption View,4,components/CostManagement.tsx:1059
costManagement.planned,Planned,,YES,,Cost Management,4,components/CostManagement.tsx:1339
estimateTrackerView.addItem,Add Item,,YES,,Estimate Tracker View; Inventory View; Material Receipt Form,4,components/EstimateTrackerView.tsx:589
laborTrackingView.selectVendor,Select Vendor,,YES,,Labor Tracking View; Procurement View; Material Receipt Form,4,components/LaborTrackingView.tsx:1123
goodsReceiptDetails.item,Item,,YES,,Goods Receipt Details; Goods Receipt Form; Purchase Order Form,4,components/purchase/GoodsReceiptDetails.tsx:199
costManagement.materialName,Material Name,,YES,,Cost Management; Material Consumption View,3,components/CostManagement.tsx:1058
costManagement.type,Type,,YES,,Cost Management; Document Vault,3,components/CostManagement.tsx:1771
dailyLogEntryScreen.preview,Preview,,YES,,Daily Log Entry Screen; Create Project Modal; Edit Project Modal,3,components/DailyLogEntryScreen.tsx:892
dashboardView.promise,Promise,,YES,,Dashboard View; Schedule View,3,components/DashboardView.tsx:28
ganttChart.taskName,Task Name,,YES,,Gantt Chart; Mobile WBSView; Tablet WBSView,3,components/GanttChart.tsx:435
inventoryView.value,Value,,YES,,Inventory View; Procurement View,3,components/InventoryView.tsx:1049
inventoryView.backToList,Back to List,,YES,,Inventory View,3,components/InventoryView.tsx:1690
procurementView.matched,Matched,,YES,,Procurement View; Material Receipt Form,3,components/ProcurementView.tsx:1352
procurementView.deleteLedgerEntry,Delete ledger entry,,YES,,Procurement View,3,components/ProcurementView.tsx:1706
wBSView.logWork,Log Work,,YES,,WBSView; Mobile WBSView; Tablet WBSView,3,components/WBSView.tsx:966
wBSView.deleteTask,Delete Task,,YES,,WBSView; Mobile WBSView; Tablet WBSView,3,components/WBSView.tsx:1494
wBSView.activityDesignation,Activity Designation,,YES,,WBSView; Mobile WBSView; Tablet WBSView,3,components/WBSView.tsx:1634
wBSView.workPhase,Work Phase,,YES,,WBSView; Mobile WBSView; Tablet WBSView,3,components/WBSView.tsx:1695
wBSView.location,Location,,YES,,WBSView; Mobile WBSView; Tablet WBSView,3,components/WBSView.tsx:1791
wBSView.activityType,Activity Type,,YES,,WBSView; Mobile WBSView; Tablet WBSView,3,components/WBSView.tsx:1930
wBSView.editTask,Edit task,,YES,,WBSView; Mobile WBSView; Tablet WBSView,3,components/WBSView.tsx:976
materialReceiptForm.removeItem,Remove item,,YES,,Material Receipt Form; Purchase Order Form,3,components/purchase/MaterialReceiptForm.tsx:460
costManagement.details,Details,,YES,,Cost Management,2,components/CostManagement.tsx:797
costManagement.role,Role,,YES,,Cost Management; Material Consumption View,2,components/CostManagement.tsx:959
costManagement.plannedTotal,Planned Total,,YES,,Cost Management,2,components/CostManagement.tsx:1646
costManagement.projectPhase,Project Phase,,YES,,Cost Management,2,components/CostManagement.tsx:1696
costManagement.categoryHead,Category (Head),,YES,,Cost Management,2,components/CostManagement.tsx:1770
costManagement.other,Other,,YES,,Cost Management; Inventory View,2,components/CostManagement.tsx:2310
costManagement.noTasksFound,No tasks found,,YES,,Cost Management; Estimate Tracker View,2,components/CostManagement.tsx:1735
dailyLogEntryScreen.removePhoto,Remove photo,,YES,,Daily Log Entry Screen; Goods Receipt Form,2,components/DailyLogEntryScreen.tsx:896
documentVault.accessLevel,Access Level,,YES,,Document Vault,2,components/DocumentVault.tsx:402
documentVault.documentName,Document Name,,YES,,Document Vault,2,components/DocumentVault.tsx:568
documentVault.category,Category,,YES,,Document Vault; Inventory View,2,components/DocumentVault.tsx:736
